t,V,X,P
2212.36200484451,11.3097061802121,23950,483.731192529451
2213.24626727322,11.3088599892930,23960,483.659935347596
2214.13059586997,11.3080138272961,23970,483.588688471704
2215.01499064242,11.3071676942722,23980,483.517451904670
2215.89945159819,11.3063215902725,23990,483.446225649389
2216.78397874492,11.3054755153478,24000,483.375009708759
2217.66857209024,11.3046294695494,24010,483.303804085676
2218.55323164176,11.3037834529282,24020,483.232608783041
2219.43795740712,11.3029374655355,24030,483.161423803753
2220.32274939393,11.3020915074223,24040,483.090249150713
2221.20760760982,11.3012455786400,24050,483.019084826823
2222.09253206239,11.3003996792396,24060,482.947930834986
2222.97752275926,11.2995538092725,24070,482.876787178107
2223.86257970804,11.2987079687900,24080,482.805653859089
2224.74770291633,11.2978621578434,24090,482.734530880841
2225.63289239174,11.2970163764841,24100,482.663418246268
2226.51814814187,11.2961706247634,24110,482.592315958279
2227.40347017432,11.2953249027329,24120,482.521224019783
2228.28885849667,11.2944792104439,24130,482.450142433691
2229.17431311653,11.2936335479479,24140,482.379071202913
2230.05983404148,11.2927879152965,24150,482.308010330362
2230.94542127910,11.2919423125413,24160,482.236959818952
2231.83107483699,11.2910967397338,24170,482.165919671596
2232.71679472272,11.2902511969257,24180,482.094889891210
2233.60258094387,11.2894056841687,24190,482.023870480711
2234.48843350801,11.2885602015143,24200,481.952861443016
2235.37435242272,11.2877147490144,24210,481.881862781044
2236.26033769557,11.2868693267208,24220,481.810874497713
2237.14638933411,11.2860239346851,24230,481.739896595946
2238.03250734592,11.2851785729593,24240,481.668929078663
2238.91869173856,11.2843332415952,24250,481.597971948786
2239.80494251958,11.2834879406447,24260,481.527025209240
2240.69125969653,11.2826426701597,24270,481.456088862950
2241.57764327697,11.2817974301922,24280,481.385162912840
2242.46409326845,11.2809522207943,24290,481.314247361839
2243.35060967851,11.2801070420178,24300,481.243342212873
2244.23719251470,11.2792618939149,24310,481.172447468871
2245.12384178455,11.2784167765377,24320,481.101563132764
2246.01055749561,11.2775716899383,24330,481.030689207482
2246.89733965540,11.2767266341688,24340,480.959825695958
2247.78418827145,11.2758816092815,24350,480.888972601123
2248.67110335130,11.2750366153287,24360,480.818129925913
2249.55808490247,11.2741916523624,24370,480.747297673262
2250.44513293248,11.2733467204352,24380,480.676475846107
2251.33224744886,11.2725018195992,24390,480.605664447384
2252.21942845911,11.2716569499069,24400,480.534863480031
2253.10667597074,11.2708121114106,24410,480.464072946989
2253.99398999128,11.2699673041628,24420,480.393292851196
2254.88137052823,11.2691225282159,24430,480.322523195595
2255.76881758909,11.2682777836225,24440,480.251763983127
2256.65633118136,11.2674330704350,24450,480.181015216737
2257.54391131254,11.2665883887061,24460,480.110276899368
2258.43155799012,11.2657437384884,24470,480.039549033966
2259.31927122161,11.2648991198344,24480,479.968831623477
