,t,V,X,P,wo2
86,75.6057257712623,11.3388026320687,860,338.322732220867,2618997.40012783
87,76.4877190035896,11.3379554779729,870,338.284386560759,2618699.03558828
88,77.3697781398647,11.3371083510677,880,338.246045060558,2618400.68257392
89,78.2519031878175,11.3362612514029,890,338.207707722013,2618102.34108353
90,79.1340941551755,11.3354141790283,900,338.169374546880,2617804.01111587
91,80.0163510496632,11.334567133994,910,338.131045536920,2617505.69266970
92,80.8986738790027,11.3337201163498,920,338.092720693887,2617207.38574380
93,81.7810626509134,11.3328731261457,930,338.054400019538,2616909.09033693
94,82.6635173731122,11.3320261634317,940,338.016083515633,2616610.80644785
95,83.546038053313,11.3311792282579,950,337.977771183936,2616312.53407533
96,84.4286246992275,11.3303323206743,960,337.939463026202,2616014.27321814
97,85.3112773185643,11.329485440731,970,337.901159044193,2615716.02387503
98,86.1939959190297,11.3286385884782,980,337.862859239675,2615417.78604478
99,87.0767805083272,11.327791763966,990,337.824563614407,2615119.55972613
100,87.9596310941576,11.3269449672447,1000,337.786272170156,2614821.34491786
101,88.8425476842189,11.3260981983644,1010,337.747984908684,2614523.14161872
102,89.7255302862068,11.3252514573754,1020,337.709701831757,2614224.94982748
103,90.6085789078139,11.3244047443281,1030,337.671422941145,2613926.76954290
104,91.4916935567304,11.3235580592728,1040,337.633148238615,2613628.60076373
105,92.3748742406436,11.3227114022597,1050,337.594877725927,2613330.44348874
106,93.2581209672383,11.3218647733395,1060,337.556611404865,2613032.29771667
107,94.1414337441965,11.3210181725623,1070,337.518349277180,2612734.16344630
108,95.0248125791974,11.3201715999788,1080,337.480091344659,2612436.04067637
109,95.9082574799177,11.3193250556393,1090,337.441837609059,2612137.92940564
110,96.7917684540312,11.3184785395946,1100,337.403588072169,2611839.82963288
111,97.6753455092091,11.317632051895,1110,337.365342735749,2611541.74135682
112,98.5589886531197,11.3167855925912,1120,337.327101601576,2611243.66457624
113,99.4426978934288,11.3159391617338,1130,337.288864671425,2610945.59928987
114,100.326473237799,11.3150927593736,1140,337.250631947080,2610647.54549649
115,101.210314693892,11.314246385561,1150,337.212403430301,2610349.50319483
116,102.094222269363,11.313400040347,1160,337.174179122879,2610051.47238365
117,102.978195971868,11.3125537237823,1170,337.135959026590,2609753.45306170
118,103.862235809059,11.3117074359175,1180,337.097743143205,2609455.44522773
119,104.746341788585,11.3108611768037,1190,337.059531474513,2609157.44888050
120,105.630513918092,11.3100149464916,1200,337.021324022290,2608859.46401875
121,106.514752205225,11.3091687450321,1210,336.983120788321,2608561.49064123
122,107.399056657623,11.3083225724761,1220,336.944921774381,2608263.52874669
123,108.283427282926,11.3074764288746,1230,336.906726982262,2607965.57833388
124,109.167864088768,11.3066303142786,1240,336.868536413744,2607667.63940155
125,110.052367082783,11.3057842287391,1250,336.830350070612,2607369.71194843
126,110.936936272599,11.3049381723071,1260,336.792167954648,2607071.79597329
127,111.821571665844,11.3040921450338,1270,336.753990067645,2606773.89147486
128,112.706273270142,11.3032461469702,1280,336.715816411388,2606475.99845189
129,113.591041093114,11.3024001781676,1290,336.677646987665,2606178.11690312
130,114.47587514238,11.301554238677,1300,336.639481798263,2605880.24682730
131,115.360775425554,11.3007083285498,1310,336.601320844977,2605582.38822317
132,116.245741950249,11.2998624478371,1320,336.563164129592,2605284.54108947
133,117.130774724076,11.2990165965903,1330,336.525011653904,2604986.70542494
134,118.015873754643,11.2981707748606,1340,336.486863419701,2604688.88122833
135,118.901039049552,11.2973249826995,1350,336.448719428783,2604391.06849837
136,119.786270616407,11.2964792201583,1360,336.410579682939,2604093.26723381
137,120.671568462805,11.2956334872884,1370,336.372444183962,2603795.47743339
138,121.556932596343,11.2947877841413,1380,336.334312933654,2603497.69909584
139,122.442363024613,11.2939421107685,1390,336.296185933809,2603199.93221990
140,123.327859755207,11.2930964672214,1400,336.258063186222,2602902.17680432
141,124.21342279571,11.2922508535517,1410,336.219944692697,2602604.43284782
142,125.099052153708,11.2914052698109,1420,336.181830455028,2602306.70034914
143,125.984747836783,11.2905597160506,1430,336.143720475018,2602008.97930702
144,126.870509852512,11.2897141923224,1440,336.105614754460,2601711.26972020
145,127.756338208472,11.2888686986782,1450,336.067513295170,2601413.57158741
146,128.642232912236,11.2880232351695,1460,336.029416098938,2601115.88490737
147,129.528193971374,11.2871778018482,1470,335.991323167578,2600818.20967884
148,130.414221393452,11.2863323987659,1480,335.953234502882,2600520.54590053
149,131.300315186036,11.2854870259746,1490,335.915150106665,2600222.89357119
150,132.186475356686,11.2846416835261,1500,335.877069980734,2599925.25268954
151,133.072701912961,11.2837963714722,1510,335.838994126885,2599627.62325431
152,133.958994862417,11.2829510898649,1520,335.800922546935,2599330.00526424
153,134.845354212606,11.2821058387562,1530,335.762855242693,2599032.39871805
154,135.731779971077,11.2812606181979,1540,335.724792215960,2598734.80361447
155,136.618272145378,11.2804154282422,1550,335.686733468554,2598437.21995223
156,137.504830743052,11.2795702689411,1560,335.648679002286,2598139.64773006
157,138.391455771641,11.2787251403466,1570,335.610628818961,2597842.08694669
158,139.278147238681,11.2778800425109,1580,335.572582920399,2597544.53760085
159,140.164905151708,11.2770349754862,1590,335.534541308411,2597246.99969125
160,141.051729518255,11.2761899393245,1600,335.496503984809,2596949.47321662
161,141.93862034585,11.2753449340782,1610,335.458470951412,2596651.95817570
162,142.825577642019,11.2744999597995,1620,335.420442210037,2596354.45456719
163,143.712601414285,11.2736550165406,1630,335.382417762495,2596056.96238984
164,144.599691670169,11.2728101043539,1640,335.344397610608,2595759.48164235
165,145.486848417187,11.2719652232918,1650,335.306381756198,2595462.01232346
166,146.374071662854,11.2711203734066,1660,335.268370201079,2595164.55443188
167,147.261361414681,11.2702755547508,1670,335.230362947076,2594867.10796634
168,148.148717680177,11.2694307673767,1680,335.192359996004,2594569.67292555
169,149.036140466846,11.2685860113369,1690,335.154361349691,2594272.24930823
170,149.923629782191,11.2677412866839,1700,335.116367009955,2593974.83711311
171,150.81118563371,11.2668965934703,1710,335.078376978627,2593677.43633891
172,151.698808028901,11.2660519317486,1720,335.040391257526,2593380.04698434
173,152.586496975256,11.2652073015715,1730,335.002409848479,2593082.66904811
174,153.474252480265,11.2643627029916,1740,334.964432753311,2592785.30252895
175,154.362074551415,11.2635181360616,1750,334.926459973853,2592487.94742557
176,155.249963196191,11.2626736008342,1760,334.888491511929,2592190.60373670
177,156.137918422074,11.2618290973623,1770,334.850527369375,2591893.27146103
178,157.025940236541,11.2609846256985,1780,334.812567548010,2591595.95059729
179,157.914028647068,11.2601401858957,1790,334.774612049674,2591298.64114419
180,158.802183661126,11.2592957780067,1800,334.736660876191,2591001.34310044
181,159.690405286184,11.2584514020845,1810,334.698714029399,2590704.05646476
182,160.578693529709,11.257607058182,1820,334.660771511133,2590406.78123586
183,161.467048399162,11.2567627463521,1830,334.622833323220,2590109.51741245
184,162.355469902003,11.2559184666478,1840,334.584899467500,2589812.26499323
185,163.24395804569,11.2550742191222,1850,334.546969945808,2589515.02397693
186,164.132512837674,11.2542300038283,1860,334.509044759980,2589217.79436225
187,165.021134285408,11.2533858208191,1870,334.471123911851,2588920.57614789
188,165.909822396337,11.2525416701479,1880,334.433207403265,2588623.36933257
189,166.798577177907,11.2516975518679,1890,334.395295236062,2588326.17391500
190,167.687398637558,11.2508534660321,1900,334.357387412076,2588028.98989387
191,168.576286782729,11.2500094126938,1910,334.319483933150,2587731.81726790
192,169.465241620854,11.2491653919063,1920,334.281584801127,2587434.65603580
193,170.354263159364,11.2483214037228,1930,334.243690017845,2587137.50619626
194,171.243351405689,11.2474774481968,1940,334.205799585157,2586840.36774800
195,172.132506367255,11.2466335253816,1950,334.167913504904,2586543.24068971
196,173.021728051483,11.2457896353305,1960,334.130031778924,2586246.12502010
197,173.911016465792,11.2449457780971,1970,334.092154409074,2585949.02073787
198,174.800371617599,11.2441019537347,1980,334.054281397192,2585651.92784173
199,175.689793514317,11.2432581622969,1990,334.016412745129,2585354.84633037
200,176.579282163356,11.2424144038373,2000,333.978548454741,2585057.77620250
201,177.468837572121,11.2415706784093,2010,333.940688527866,2584760.71745681
202,178.358459748018,11.2407269860666,2020,333.902832966359,2584463.67009201
203,179.248148698445,11.2398833268628,2030,333.864981772071,2584166.63410679
204,180.1379044308,11.2390397008517,2040,333.827134946861,2583869.60949985
205,181.027726952477,11.2381961080868,2050,333.789292492569,2583572.59626990
206,181.917616270867,11.237352548622,2060,333.751454411059,2583275.59441562
207,182.807572393357,11.236509022511,2070,333.713620704181,2582978.60393572
208,183.697595327332,11.2356655298077,2080,333.675791373797,2582681.62482888
209,184.587685080173,11.2348220705658,2090,333.637966421755,2582384.65709381
210,185.477841659257,11.2339786448393,2100,333.600145849918,2582087.70072920
211,186.368065071961,11.2331352526821,2110,333.562329660144,2581790.75573374
212,187.258355325654,11.2322918941481,2120,333.524517854291,2581493.82210613
213,188.148712427706,11.2314485692913,2130,333.486710434218,2581196.89984505
214,189.039136385482,11.2306052781656,2140,333.448907401782,2580899.98894921
215,189.929627206343,11.2297620208253,2150,333.411108758856,2580603.08941729
216,190.820184897648,11.2289187973243,2160,333.373314507295,2580306.20124798
217,191.710809466753,11.2280756077167,2170,333.335524648960,2580009.32443997
218,192.60150092101,11.2272324520568,2180,333.297739185721,2579712.45899195
219,193.492259267767,11.2263893303986,2190,333.259958119438,2579415.60490262
220,194.383084514371,11.2255462427965,2200,333.222181451983,2579118.76217065
221,195.273976668163,11.2247031893047,2210,333.184409185220,2578821.93079474
222,196.164935736483,11.2238601699774,2220,333.146641321016,2578525.11077358
223,197.055961726667,11.223017184869,2230,333.108877861241,2578228.30210584
224,197.947054646048,11.2221742340338,2240,333.071118807760,2577931.50479022
225,198.838214501954,11.2213313175263,2250,333.033364162451,2577634.71882540
226,199.729441301711,11.2204884354009,2260,332.995613927181,2577337.94421007
227,200.620735052643,11.219645587712,2270,332.957868103825,2577041.18094291
228,201.512095762069,11.2188027745141,2280,332.920126694249,2576744.42902259
229,202.403523437305,11.2179599958618,2290,332.882389700335,2576447.68844781
230,203.295018085664,11.2171172518096,2300,332.844657123953,2576150.95921725
231,204.186579714455,11.2162745424121,2310,332.806928966980,2575854.24132959
232,205.078208330984,11.215431867724,2320,332.769205231293,2575557.53478351
233,205.969903942555,11.2145892277999,2330,332.731485918770,2575260.83957768
234,206.861666556467,11.2137466226945,2340,332.693771031284,2574964.15571079
235,207.753496180016,11.2129040524627,2350,332.656060570724,2574667.48318153
236,208.645392820496,11.212061517159,2360,332.618354538959,2574370.82198855
237,209.537356485194,11.2112190168384,2370,332.580652937877,2574074.17213055
238,210.429387181399,11.2103765515557,2380,332.542955769358,2573777.53360619
239,211.321484916392,11.2095341213658,2390,332.505263035286,2573480.90641417
240,212.213649697454,11.2086917263235,2400,332.467574737539,2573184.29055314
241,213.105881531859,11.2078493664839,2410,332.429890878008,2572887.68602179
242,213.998180426882,11.2070070419019,2420,332.392211458576,2572591.09281879
243,214.890546389791,11.2061647526325,2430,332.354536481126,2572294.51094282
244,215.782979427852,11.2053224987308,2440,332.316865947551,2571997.94039254
245,216.675479548329,11.2044802802519,2450,332.279199859735,2571701.38116664
246,217.568046758479,11.2036380972508,2460,332.241538219565,2571404.83326377
247,218.46068106556,11.2027959497828,2470,332.203881028934,2571108.29668262
248,219.353382476823,11.201953837903,2480,332.166228289731,2570811.77142185
249,220.246150999518,11.2011117616666,2490,332.128580003845,2570515.25748014
250,221.138986640889,11.200269721129,2500,332.090936173176,2570218.75485615
251,222.03188940818,11.1994277163454,2510,332.053296799611,2569922.26354854
252,222.924859308629,11.1985857473711,2520,332.015661885042,2569625.78355600
253,223.817896349472,11.1977438142615,2530,331.978031431369,2569329.31487719
254,224.711000537939,11.196901917072,2540,331.940405440485,2569032.85751077
255,225.604171881261,11.196060055858,2550,331.902783914287,2568736.41145541
256,226.497410386662,11.195218230675,2560,331.865166854672,2568439.97670977
257,227.390716061362,11.1943764415785,2570,331.827554263539,2568143.55327253
258,228.284088912582,11.1935346886241,2580,331.789946142790,2567847.14114233
259,229.177528947535,11.1926929718672,2590,331.752342494317,2567550.74031786
260,230.071036173432,11.1918512913636,2600,331.714743320029,2567254.35079777
261,230.964610597481,11.1910096471689,2610,331.677148621830,2566957.97258072
262,231.858252226887,11.1901680393387,2620,331.639558401615,2566661.60566537
263,232.75196106885,11.1893264679288,2630,331.601972661291,2566365.25005039
264,233.645737130568,11.1884849329948,2640,331.564391402759,2566068.90573444
265,234.539580419234,11.1876434345927,2650,331.526814627932,2565772.57271617
266,235.433490942039,11.1868019727782,2660,331.489242338712,2565476.25099425
267,236.327468706169,11.1859605476071,2670,331.451674537005,2565179.94056733
268,237.221513718808,11.1851191591354,2680,331.414111224721,2564883.64143407
269,238.115625987136,11.1842778074189,2690,331.376552403766,2564587.35359313
270,239.009805518329,11.1834364925137,2700,331.338998076053,2564291.07704316
271,239.904052319559,11.1825952144757,2710,331.301448243492,2563994.81178283
272,240.798366397997,11.181753973361,2720,331.263902907997,2563698.55781078
273,241.692747760807,11.1809127692255,2730,331.226362071473,2563402.31512567
274,242.587196415152,11.1800716021256,2740,331.188825735845,2563106.08372616
275,243.48171236819,11.1792304721171,2750,331.151293903014,2562809.86361089
276,244.376295627077,11.1783893792564,2760,331.113766574905,2562513.65477853
277,245.270946198963,11.1775483235996,2770,331.076243753428,2562217.45722772
278,246.165664090998,11.176707305203,2780,331.038725440506,2561921.27095711
279,247.060449310325,11.1758663241228,2790,331.001211638051,2561625.09596535
280,247.955301864085,11.1750253804154,2800,330.963702347986,2561328.93225111
